content,label,label_id
"Pros: Cheap rates & good deals Cons: Customer service is almost nonexistent Although it's really my fault for not checking thoroughly b4 booking, it wouldn't hurt to be a bit flexible. I called both the CS. Hotel staff said they couldn't do anything as booking was made via 3rd party. Traveloka was not helpful at all, told me to take the booking as the ""original"". When i have already mentioned that I'm not in the country. All u had to do was to send an email cfm to the hotel to assist in resch.",0,unhappy
App works. but I get 10 notifications a day. Turning off all in app notifications does nothing. If you turn off app notifications from your phone than you won't get important notifications. please fix this,0,unhappy
"I think traveloka should change to another app, because if you're booking or paying for a hotel with cc, it's just a book. When i check-in the room must be paid on site, because on traveloka pay with cc, just for book not pay hotel room and cc will be refunded after you pay in onsite but refund we must wait for 14 weekdays. It's very confusing for me and annoying. Please, Traveloka check again your business process.",0,unhappy
"This was my favorite travel agent. But now, customer service is nonexistent. You can only chat with a bot, and if it cannot answer your question, well, too bad. You'll be waiting in the chat box for nothing until the system kicks you out for no response. So only order things here that you have 100% certainty. Anything else, ordering through the actual hotel or airline is probably a better route as you will end up dealing with them anyway for issues.",0,unhappy
"doesn't accept a lot of american carriers and horrible customer service, but the app is fine",0,unhappy
We bought extra baggage along with our tickets but it's not registered when we checked in. we waited 2 hours for customer service with no response. we ended up buying extra on the check in.,0,unhappy
"Recently experienced bad after-sales support from Traveloka. Because of some error in the Traveloka system, it ended up in a double booking and payment for the same fight. After hours of talking, and emailing CS, they have no solution and end it all with the same answer: ""because of the regulations of the airlines there will be no refunds"", but even for a double booking? Yes as they said. So I need to do my own research and contact the airlines to make a refund for it. No support at all.",0,unhappy
"Actually I like Traveloka, the best application for booking hotels, flights, trains etc. But, in the last 4 months this application has an error in my android mobile, while opening the application to book a hotel or flight suddenly the application stops working and returns to the home page with remarks ""sorry something went wrong with the application..bla bla bla "". Always like this. Now, I can only open this application but my laptop, too bad.",0,unhappy
"on latest version. lately often showing ""price has been updated"" on checkout. i understand price changes from airlines. but if it happens to most flights and the said new price aren't updated after re-searching (after a few hours), this irritates, becomes a trap, less usable, and makes me switch to another reliable/trustable app to search and book flights.",0,unhappy
"Before, it used to show the lowest price of the round trip ticket already. All you have to do is to search each month and check the lowest price. But after the recent update, some of the lowest prices shown per month are different when you actually continue to look for the flight that has the lowest rate per day. I used to rely on this for promo flights but now it's not that reliable. Sometimes it only shows the price of the one way ticket even if you are looking for round trip tickets.",0,unhappy
"I really didn't have any good customer service experience in Traveloka. While they are courteous in their reply, they are SLOW to respond in customer's inquiries. Some deals are also better in other apps so I can't recommend the deals they have here. I probably won't use this app again if nothing changes.",0,unhappy
"I never want to review an app, but I rely on this app to book 6 flights incl int/nat overnight. For me, the downsides are Too much unattractive and unuseful promotion which just fills up the screen. Not too serious apps for travel and tickets, as how would you combine gold in the travel apps?? Huge spread too And there are free points pop up always annoying you when you're on the page. Geez... But, the upside is refund and exchange travel dates made easy for us, and saved items are very helpful.",0,unhappy
"Most of the experiences using this app were good, except today when I realized that not all promos advertised in the app are valid. I contacted CS via call & email, initially the responses were asking if I used the correct credit card, if the application was updated, etc. Later on they said the promo is no longer valid, when actually it's still written valid based on the date written on the promo page. When I asked further, they said Traveloka had the right to change/cancel the promo without prior notice. great",0,unhappy
"I book flights for certain prices, when I input booking details, the booking was error and than the price changes (more expensive). I do understand that sometimes flights will have price changes from time to time, but booking with Traveloka has been like this for too many times. Really wasting time need to input booking details and confirm price again and again.",0,unhappy
"The application itself is excellent. I just hate that the application cannot be deactivated (installed but put to sleep until we reopen it). With other applications, I can force close them to deactivate them. But this traveloka application? It's so stubborn that every time I force it close, it will become active again by itself.",0,unhappy
Had a bit of trouble at the airport because the app said travel tax was included but apparently it wasn't. Also wasn't able to check in at the airport through the kiosk because the name of the app booked didn't match the airline record. Basically more hassle than convenience. So not for me.,0,unhappy
"Traveloka is great when things go well. When things have to change the app and phone call center all fail. In my case the airline canceled an international flight after check-in. Traveloka is not interested in processing a refund, the airline will only work with the agent. I have paid for 2 international tickets and lost all my money. This is basically theft.",0,unhappy
"They try to cheat the price displayed..it shows price 19 per night..than when i click to book the room,suddenly app pop up price just updated to new price which is more expensive.same goes to other hotel and when i tried again, it shows the same thing even on the next day. it's not 'just updated' but they displayed low price to make it competitive with other apps but actually it's not.",0,unhappy
"Really poor customer service, been using Traveloka all the time but now I think I might just look at the other options ðŸ˜„ Be cautious with your bookings because they don't check the conditions of each hotel. Edit: I forgot to thank you for your past service, thank you!",0,unhappy
The latest version freeze a lot e.g. if I check photos from 3-4 hotels than the app freezes and is forced closed. So I have to start all over again. Very annoying. Unlike the previous version that runs smoothly,0,unhappy
"First time and the last to use this app! After booking a car rental, it mentioned ""the driver will contact you at least 3 hrs before departure time."" Guess what, I have no calls at all, not even a message from the driver!! I paid for it already and no refunds! I texted the rental company but the answer is too late. Really superb customer service!",0,unhappy
"Horrendous ads in the opening of the app are very annoying. Yes you can set the push notification, but it's just unbearable and intrusive. Chances are if you are a foreigner like myself who will pay with a credit card issued by the country you are from, you will be frustrated, because the app will request the OTP code sent to the phone number of the country where you have your credit card. What if the number is not internationally roaming?",0,unhappy
"Somehow the interface sucks. When I want to add my redemption coupon in my purchase. I have to navigate all the way back to the home screen to search for the coupon, copy and than paste it on my transaction screen.",0,unhappy
"From an app perspective, this app is quite good which we can easily compare prices between airlines. But be careful when you do refund the ticket which purchased from this app, and recheck again the amount you received from them. I did refund and during the process it shows I should get 400 thousand something, but indeed I only get 200 thousand something in my account. After i recheck my account and find out it does not match and complain to the CS than get back the rest without explanation :(",0,unhappy
"I hate how this app keeps giving me push notifications of promos such as 'transportation for airports' etc Like, NO, if I want transportation etc than I will book for it. I DON'T WANT PROMOS. This is especially awful because I have turned off ALL push notifications from this app, YET I still get those push notifications. Please fix this. It's so annoying and I'm honestly debating whether to uninstall this app entirely or not.",0,unhappy
"Refund service is very very slow. More than 1 month, my refund status is only ""Submitted"". It hasn't been delivered to the airlines. The reason is ""waiting for other nearest flight"". There is no progress at all until now. It is useless to ask the customer service because their reasons are always the same. Another application is better..",0,unhappy
"The app is very slow recently, even when my internet is good. The service is also not good. 2 times I booked for more luggage, and there was a confirmation. However, when I went to the airport, the check-in counter said I did not have extra luggage.",0,unhappy
"I would normally give it 5, because I often use the app with no problems, but please review the properties managed by travelio advertised in the traveloka app. We booked such properties. Travelio agents contacted us, asked us to download their app & create an account there, and generally made it a nightmare to check in. Traveloka is already a 3rd-party app, why would there be a 4th-party app? This is literally the opposite of seamless user experience. Traveloka, you should not allow this to happen.",0,unhappy
"for traveloka eats specifically, i just don't get why when i searched for a tenant i got the one so far away from my current location? i accidentally ordered from that specific tenant a few times and it bugs me on how inconvenient this is. is it possible to change the algorithm to make sure the search results are dependent on my current location?",0,unhappy
"Too noisy - too much unnecessary info and advertising - several features are unseen, because of the placement, or the component using list instead of CTA/Chip/etc which will be easy to scan rather than list (especially on flights book) - not clear instruction - not flexible payment options - many hidden info and hidden features",0,unhappy
