content,score,appId,label
"Pros: Cheap rates & good deals Cons: Customer service is almost nonexistent Although it's really my fault for not checking thoroughly b4 booking, it wouldn't hurt to be a bit flexible. I called both the CS. Hotel staff said they couldn't do anything as booking was made via 3rd party. Traveloka was not helpful at all, told me to take the booking as the ""original"". When i have already mentioned that I'm not in the country. All u had to do was to send an email cfm to the hotel to assist in resch.",2,com.traveloka.android,0
App works. but I get 10 notifications a day. Turning off all in app notifications does nothing. If you turn off app notifications from your phone than you won't get important notifications. please fix this,2,com.traveloka.android,0
"I think traveloka should change to another app, because if you're booking or paying for a hotel with cc, it's just a book. When i check-in the room must be paid on site, because on traveloka pay with cc, just for book not pay hotel room and cc will be refunded after you pay in onsite but refund we must wait for 14 weekdays. It's very confusing for me and annoying. Please, Traveloka check again your business process.",2,com.traveloka.android,0
"This was my favorite travel agent. But now, customer service is nonexistent. You can only chat with a bot, and if it cannot answer your question, well, too bad. You'll be waiting in the chat box for nothing until the system kicks you out for no response. So only order things here that you have 100% certainty. Anything else, ordering through the actual hotel or airline is probably a better route as you will end up dealing with them anyway for issues.",2,com.traveloka.android,0
"doesn't accept a lot of american carriers and horrible customer service, but the app is fine",2,com.traveloka.android,0
We bought extra baggage along with our tickets but it's not registered when we checked in. we waited 2 hours for customer service with no response. we ended up buying extra on the check in.,2,com.traveloka.android,0
"Recently experienced bad after-sales support from Traveloka. Because of some error in the Traveloka system, it ended up in a double booking and payment for the same fight. After hours of talking, and emailing CS, they have no solution and end it all with the same answer: ""because of the regulations of the airlines there will be no refunds"", but even for a double booking? Yes as they said. So I need to do my own research and contact the airlines to make a refund for it. No support at all.",2,com.traveloka.android,0
"Actually I like Traveloka, the best application for booking hotels, flights, trains etc. But, in the last 4 months this application has an error in my android mobile, while opening the application to book a hotel or flight suddenly the application stops working and returns to the home page with remarks ""sorry something went wrong with the application..bla bla bla "". Always like this. Now, I can only open this application but my laptop, too bad.",2,com.traveloka.android,0
"on latest version. lately often showing ""price has been updated"" on checkout. i understand price changes from airlines. but if it happens to most flights and the said new price aren't updated after re-searching (after a few hours), this irritates, becomes a trap, less usable, and makes me switch to another reliable/trustable app to search and book flights.",2,com.traveloka.android,0
"Before, it used to show the lowest price of the round trip ticket already. All you have to do is to search each month and check the lowest price. But after the recent update, some of the lowest prices shown per month are different when you actually continue to look for the flight that has the lowest rate per day. I used to rely on this for promo flights but now it's not that reliable. Sometimes it only shows the price of the one way ticket even if you are looking for round trip tickets.",2,com.traveloka.android,0
